date,max_temp,min_temp,avg_temp,year,avg_temp_for_the_year,f_max_temp,f_min_temp,f_avg_temp,max_temp_change,min_temp_change,avg_temp_change,csv_creation_time
2021-03-19 00:00:00+00:00,4.058,-3.791,0.073,2021-01-01,16.029335,39.304,25.176,32.131,,,,2024-03-20 18:11:40
2021-03-20 00:00:00+00:00,3.359,-3.992,0.794,2021-01-01,16.029335,38.046,24.814,33.429,-0.699,-0.201,0.721,2024-03-20 18:11:40
2021-03-21 00:00:00+00:00,9.159,0.458,4.884,2021-01-01,16.029335,48.486,32.824,40.791,5.8,4.45,4.09,2024-03-20 18:11:40
2021-03-22 00:00:00+00:00,9.458,-0.442,4.336,2021-01-01,16.029335,49.024,31.204,39.805,0.299,-0.9,-0.548,2024-03-20 18:11:40
2021-03-23 00:00:00+00:00,7.609,3.709,5.565,2021-01-01,16.029335,45.696,38.676,42.017,-1.849,4.151,1.229,2024-03-20 18:11:40
2021-03-24 00:00:00+00:00,11.309,1.959,6.217,2021-01-01,16.029335,52.356,35.526,43.191,3.7,-1.75,0.652,2024-03-20 18:11:40
2021-03-25 00:00:00+00:00,14.409,0.558,7.846,2021-01-01,16.029335,57.936,33.004,46.123,3.1,-1.401,1.629,2024-03-20 18:11:40
2021-03-26 00:00:00+00:00,15.059,3.359,9.021,2021-01-01,16.029335,59.106,38.046,48.238,0.65,2.801,1.175,2024-03-20 18:11:40
2021-03-27 00:00:00+00:00,10.409,3.059,6.596,2021-01-01,16.029335,50.736,37.506,43.873,-4.65,-0.3,-2.425,2024-03-20 18:11:40
2021-03-28 00:00:00+00:00,11.208,1.259,7.14,2021-01-01,16.029335,52.174,34.266,44.852,0.799,-1.8,0.544,2024-03-20 18:11:40
2021-03-29 00:00:00+00:00,17.708,7.808,11.779,2021-01-01,16.029335,63.874,46.054,53.202,6.5,6.549,4.639,2024-03-20 18:11:40
2021-03-30 00:00:00+00:00,19.958,6.458,12.692,2021-01-01,16.029335,67.924,43.624,54.846,2.25,-1.35,0.913,2024-03-20 18:11:40
2021-03-31 00:00:00+00:00,21.708,4.359,13.242,2021-01-01,16.029335,71.074,39.846,55.836,1.75,-2.099,0.55,2024-03-20 18:11:40
2021-04-01 00:00:00+00:00,16.958,4.408,10.211,2021-01-01,16.029335,62.524,39.934,50.38,-4.75,0.049,-3.031,2024-03-20 18:11:40
2021-04-02 00:00:00+00:00,11.659,2.309,6.119,2021-01-01,16.029335,52.986,36.156,43.014,-5.299,-2.099,-4.092,2024-03-20 18:11:40
2021-04-03 00:00:00+00:00,8.958,-0.292,4.823,2021-01-01,16.029335,48.124,31.474,40.681,-2.701,-2.601,-1.296,2024-03-20 18:11:40
2021-04-04 00:00:00+00:00,9.659,-2.241,4.756,2021-01-01,16.029335,49.386,27.966,40.561,0.701,-1.949,-0.067,2024-03-20 18:11:40
2021-04-05 00:00:00+00:00,6.258,0.558,3.602,2021-01-01,16.029335,43.264,33.004,38.484,-3.401,2.799,-1.154,2024-03-20 18:11:40
2021-04-06 00:00:00+00:00,5.958,-1.491,2.144,2021-01-01,16.029335,42.724,29.316,35.859,-0.3,-2.049,-1.458,2024-03-20 18:11:40
2021-04-07 00:00:00+00:00,6.359,-0.042,2.813,2021-01-01,16.029335,43.446,31.924,37.063,0.401,1.449,0.669,2024-03-20 18:11:40
